chain_root	chain_shortest	chain_longest	chain_length	language	lang_name	mode_word	word_ipa_len	stability	mode_count	total_extensions	gloss	all_words_json
da-u-ti	da-u-ti	da-u-ti-nu-i-na	6	xcr	Eteocretan	βάνðα	5	0.8333	5	6		"[""\u03b2\u03ac\u03bd\u00f0\u03b1"", ""\u03b2\u03ac\u03bd\u00f0\u03b1"", ""\u2020=\u00f0"", ""\u03b2\u03ac\u03bd\u00f0\u03b1"", ""\u03b2\u03ac\u03bd\u00f0\u03b1"", ""\u03b2\u03ac\u03bd\u00f0\u03b1""]"
e-ka-na	e-ka-na	e-ka-na-si-si-r	6	xcr	Eteocretan	ἄl̩α	4	0.8333	5	6		"[""\u1f04l\u0329\u03b1"", ""\u1f04l\u0329\u03b1"", ""\u1f04l\u0329\u03b1"", ""\u1f04l\u0329\u03b1"", ""\u1f04l\u0329\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1""]"
i-ke-ta	i-ke-ta	i-ke-ta-na-i-*301-t	6	xcr	Eteocretan	ἄl̩α	4	0.8333	5	6		"[""\u1f04l\u0329\u03b1"", ""\u1f04l\u0329\u03b1"", ""\u1f04l\u0329\u03b1"", ""\u1f04l\u0329\u03b1"", ""\u1f04l\u0329\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1""]"
re-i-ke	re-i-ke	re-i-ke-ta-na-i	6	xcr	Eteocretan	γέl̩α	5	0.8333	5	6		"[""\u2020=l\u0329"", ""\u03b3\u03adl\u0329\u03b1"", ""\u03b3\u03adl\u0329\u03b1"", ""\u03b3\u03adl\u0329\u03b1"", ""\u03b3\u03adl\u0329\u03b1"", ""\u03b3\u03adl\u0329\u03b1""]"
u-*56-e-tu	u-*56-e-tu	u-*56-e-tu-me-i-ja	6	xcr	Eteocretan	βάνðα	5	0.8333	5	6		"[""*mn-"", ""\u03b2\u03ac\u03bd\u00f0\u03b1"", ""\u03b2\u03ac\u03bd\u00f0\u03b1"", ""\u03b2\u03ac\u03bd\u00f0\u03b1"", ""\u03b2\u03ac\u03bd\u00f0\u03b1"", ""\u03b2\u03ac\u03bd\u00f0\u03b1""]"
u-na-ka	u-na-ka	u-na-ka-na-si	5	xcr	Eteocretan	γέl̩α	5	0.8000	4	5		"[""\u2020=l\u0329"", ""\u03b3\u03adl\u0329\u03b1"", ""\u03b3\u03adl\u0329\u03b1"", ""\u03b3\u03adl\u0329\u03b1"", ""\u03b3\u03adl\u0329\u03b1""]"
ja-se-ka	ja-se-ka	ja-se-ka-na-si	5	xcr	Eteocretan	γέl̩α	5	0.8000	4	5		"[""\u2020=l\u0329"", ""\u03b3\u03adl\u0329\u03b1"", ""\u03b3\u03adl\u0329\u03b1"", ""\u03b3\u03adl\u0329\u03b1"", ""\u03b3\u03adl\u0329\u03b1""]"
e-u-na-ka	e-u-na-ka	e-u-na-ka-na-si	5	xcr	Eteocretan	γέl̩α	5	0.8000	4	5		"[""\u2020=l\u0329"", ""\u03b3\u03adl\u0329\u03b1"", ""\u03b3\u03adl\u0329\u03b1"", ""\u03b3\u03adl\u0329\u03b1"", ""\u03b3\u03adl\u0329\u03b1""]"
e-u-na-ru	e-u-na-ru	e-u-na-ru-ka-na	5	xcr	Eteocretan	βάνðα	5	0.8000	4	5		"[""\u2020=\u00f0"", ""\u03b2\u03ac\u03bd\u00f0\u03b1"", ""\u03b2\u03ac\u03bd\u00f0\u03b1"", ""\u03b2\u03ac\u03bd\u00f0\u03b1"", ""\u03b2\u03ac\u03bd\u00f0\u03b1""]"
a-ru-ka	a-ru-ka	a-ru-ka-na-s	4	xcr	Eteocretan	γέl̩α	5	0.7500	3	4		"[""\u2020=l\u0329"", ""\u03b3\u03adl\u0329\u03b1"", ""\u03b3\u03adl\u0329\u03b1"", ""\u03b3\u03adl\u0329\u03b1""]"
i-ki-tu	i-ki-tu	i-ki-tu-ja-s	4	xcr	Eteocretan	ἄl̩α	4	0.7500	3	4		"[""\u2020=\u00f0"", ""\u1f04l\u0329\u03b1"", ""\u1f04l\u0329\u03b1"", ""\u1f04l\u0329\u03b1""]"
di-ki-tu	di-ki-tu	di-ki-tu-ja-s	4	xcr	Eteocretan	βάνðα	5	0.7500	3	4		"[""\u03b3\u03adl\u0329\u03b1"", ""\u03b2\u03ac\u03bd\u00f0\u03b1"", ""\u03b2\u03ac\u03bd\u00f0\u03b1"", ""\u03b2\u03ac\u03bd\u00f0\u03b1""]"
na-ru-ka	na-ru-ka	na-ru-ka-na-s	4	xcr	Eteocretan	γέl̩α	5	0.7500	3	4		"[""\u2020=l\u0329"", ""\u03b3\u03adl\u0329\u03b1"", ""\u03b3\u03adl\u0329\u03b1"", ""\u03b3\u03adl\u0329\u03b1""]"
di-ki-te	di-ki-te	di-ki-te-te-re	9	xpg	Phrygian	pinke	5	1.0000	9	9	five	"[""pinke"", ""pinke"", ""pinke"", ""pinke"", ""pinke"", ""pinke"", ""pinke"", ""pinke"", ""pinke""]"
a-na-ti	a-na-ti	a-na-ti-*301-wa-ja	6	xpg	Phrygian	baɡo	4	1.0000	6	6		"[""ba\u0261o"", ""ba\u0261o"", ""ba\u0261o"", ""ba\u0261o"", ""ba\u0261o"", ""ba\u0261o""]"
a-tu-ru	a-tu-ru	a-tu-ru-sa-i-da	6	xpg	Phrygian	anar	4	1.0000	6	6	husband	"[""anar"", ""anar"", ""anar"", ""anar"", ""anar"", ""anar""]"
i-nu-ja	i-nu-ja	i-nu-ja-sa-sa-r	6	xpg	Phrygian	aoːroː	6	1.0000	6	6		"[""ao\u02d0ro\u02d0"", ""ao\u02d0ro\u02d0"", ""ao\u02d0ro\u02d0"", ""ao\u02d0ro\u02d0"", ""ao\u02d0ro\u02d0"", ""ao\u02d0ro\u02d0""]"
ja-ja-i	ja-ja-i	ja-ja-i-nwa-za	6	xpg	Phrygian	aoːroː	6	1.0000	6	6		"[""ao\u02d0ro\u02d0"", ""ao\u02d0ro\u02d0"", ""ao\u02d0ro\u02d0"", ""ao\u02d0ro\u02d0"", ""ao\u02d0ro\u02d0"", ""ao\u02d0ro\u02d0""]"
