# Source: eCUT — electronic Corpus of Urartian Texts (ORACC), Urartian glossary
# URL: https://oracc.museum.upenn.edu/ecut/
# License: CC0 1.0 (Public Domain)
# Downloaded: 2026-03-26T08:52:56Z
# Script: pillar5/scripts/extract_glosses.py
word	translation	source	source_url
gunuie	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
gunuše	battle	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
gurbini	quiver	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
gurdari	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
guri	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
ha-	take	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
habtini	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
hadušu	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
hai	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
haidilanini	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
halbi	(a category of men or workers)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
halbiuni	(a category of men or profession)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
haluli	fruit?	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
haptinie	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
harari	path?	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
harharš-	destroy	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
hari	way	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
harnizi	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
haš-	listen	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
hine	now	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
hip-	throw	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
hipuni	barley?	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
hišan-	let thrive??	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
hubi	valley?	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
hupiqi	(an object dedicated to the god Haldi)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
hurade	soldier	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
hurišhi	abundant?	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
huru	(meaning unknown)	eCUT/ORACC	https://oracc.museum.upenn.edu/ecut/
