# Source: eDiAna Digital Philological-Etymological Dictionary of the Minor Ancient Anatolian Corpus Languages (Lydian)
# URL: https://www.ediana.gwi.uni-muenchen.de/
# License: CC BY-SA 4.0
# Downloaded: 2026-03-26T08:52:56Z
# Script: pillar5/scripts/extract_glosses.py
word	translation	source	source_url
afar(i)-	property transfer, trade (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
*wasa-	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
pslẽν	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
ẽntarfλo-	belonging	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
citolla-	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
citala-	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
=tλ	whom (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
fratini-(d)	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
saknaki-(d)	to defile (vel sim.)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
pa-(d)	to keep safe (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
qišre-(d)	to take care (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
mraši-	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
šisiro-(d)	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
*ad-	to eat	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
tdi-(d)	to attempt	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
kusedus pusedus	hocus pocus (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
šapi-(d)	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
kašno-	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
amito-	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
arkto-	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
mλwẽnš(i)-	of the balcony/balustrade (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
mλola-	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
mλatalad	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
ceši-	to take, collect (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
*win-	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
wλi-	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
cuni-	to sponsor, erect (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
kλida-	earth, soil	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
*mλwẽna-	balcony, balustrade (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
*šaw-	to see (vel sim.)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
wol(i)-	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
alarm-	own (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
=iš	(part.)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
sfẽni-(t)	to own	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
sfẽnd(i)-	of one’s own, (subs.) possessions	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
sfẽn(i)-	relative	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
