# Source: IDS — Intercontinental Dictionary Series, Elamite (contribution 216)
# URL: https://ids.clld.org/contributions/216
# License: CC BY 4.0
# Downloaded: 2026-03-26T08:52:56Z
# Script: pillar5/scripts/extract_glosses.py
word	translation	source	source_url
du-šá-ra-ma	deep	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
ma-šu-um	flat	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
iš-tur-rák-qa	straight	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
irpi; ir-pi	round	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
pur; pu-ur	circle	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
še-be	sphere, ball	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
ki; ki-ik; ki-ir	one	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
mar; ma-ir; mar-ra	two	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
ziti; zí-ti	three	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
*tu-ku	five	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
un-ra	every, all	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
ir-še-ik-ki	much, many	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
ha-ri-ik-ki	little (quantity), few	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
huh; hu-úh	full	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
áš	part, piece	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
pír-ni; pír-nu-šu; pír-nu-ba	half	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
ap-pu-qa-na	first	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
tuk	pair	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
da-la-ri; dalar.e	time	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
