chain_root	chain_shortest	chain_longest	chain_length	language	lang_name	stability	mode_word	mode_count	total_extensions	gloss	all_words_json
nu-i-na	nu-i-na	nu-i-na-i-da-ja	6	dra-pro	Proto-Dravidian	0.8333	jaɳʈ-	5	6		"[""ir-"", ""ja\u0273\u0288-"", ""ja\u0273\u0288-"", ""ja\u0273\u0288-"", ""ja\u0273\u0288-"", ""ja\u0273\u0288-""]"
re-i-ke	re-i-ke	re-i-ke-ta-na-i	6	ccs-pro	Proto-Kartvelian	0.8333	dzor	5	6		"[""dzor"", ""dzor"", ""dzum"", ""dzor"", ""dzor"", ""dzor""]"
re-i-ke	re-i-ke	re-i-ke-ta-na-i	6	cms	Messapic	0.8333	aran	5	6	arable land	"[""aran"", ""aran"", ""aran"", ""aran"", ""aran"", ""ai""]"
re-i-ke	re-i-ke	re-i-ke-ta-na-i	6	xcr	Eteocretan	0.8333	γέl̩α	5	6		"[""\u2020=l\u0329"", ""\u03b3\u03adl\u0329\u03b1"", ""\u03b3\u03adl\u0329\u03b1"", ""\u03b3\u03adl\u0329\u03b1"", ""\u03b3\u03adl\u0329\u03b1"", ""\u03b3\u03adl\u0329\u03b1""]"
si-i-pi	si-i-pi	si-i-pi-na-ma-i	6	phn	Phoenician	0.8333	pani	5	6		"[""pani"", ""pani"", ""pani"", ""pani"", ""k\u02b0amma\u02d0n"", ""pani""]"
u-ja-sa	u-ja-sa	u-ja-sa-sa-ra-m	6	dra-pro	Proto-Dravidian	0.8333	poʈʈ-	5	6		"[""a\u0273\u0288\u0288"", ""po\u0288\u0288-"", ""po\u0288\u0288-"", ""po\u0288\u0288-"", ""po\u0288\u0288-"", ""po\u0288\u0288-""]"
u-ja-sa	u-ja-sa	u-ja-sa-sa-ra-m	6	elx	Elamite	0.8333	ʃutu	5	6		"[""\u0283utu"", ""tuu\u0283"", ""\u0283utu"", ""\u0283utu"", ""\u0283utu"", ""\u0283utu""]"
u-ru-sa	u-ru-sa	u-ru-sa-i-da-a-u	6	cms	Messapic	0.8333	ma	5	6	prohibition particle	"[""zis"", ""ma"", ""ma"", ""ma"", ""ma"", ""ma""]"
u-ru-sa	u-ru-sa	u-ru-sa-i-da-a-u	6	elx	Elamite	0.8333	ʃutu	5	6		"[""\u0283utu"", ""\u0283utu"", ""\u0283utu"", ""\u0283utu"", ""\u0283utu"", ""tuu\u0283""]"
u-ru-sa	u-ru-sa	u-ru-sa-i-da-a-u	6	hit	Hittite	0.8333	pata	5	6	place	"[""pata"", ""pata"", ""pata"", ""pata"", ""pata"", ""tepus""]"
u-ru-sa	u-ru-sa	u-ru-sa-i-da-a-u	6	phn	Phoenician	0.8333	pani	5	6		"[""\u0283at"", ""pani"", ""pani"", ""pani"", ""pani"", ""pani""]"
